frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
49,2,[2193.61181640625 1401.347412109375 2945.6953125 2082.41259765625],car,[2469.12548828125 1890.0927734375 2674.627685546875 1954.21630859375],0.8373249173164368,MEYSU,0.044386574107974225
49,3,[1099.815185546875 1164.5428466796875 1728.2528076171875 1635.5633544921875],car,[1320.9056396484375 1454.63720703125 1510.7098388671875 1521.17919921875],0.3239705264568329,GX15OGJ,0.47514134564706983
50,2,[2195.750732421875 1408.6551513671875 2948.31787109375 2090.947021484375],car,[2470.70947265625 1896.339111328125 2679.967529296875 1961.7509765625],0.8332731127738953,MTSV,0.020296858623623848
50,3,[1097.6922607421875 1168.849853515625 1726.1224365234375 1640.881103515625],car,[1309.5784912109375 1450.76171875 1508.5181884765625 1529.2349853515625],0.4365176558494568,GX15OGJ,0.4382065091097051
51,2,[2196.80810546875 1417.6285400390625 2950.551513671875 2101.13671875],car,[2475.37451171875 1915.074951171875 2680.787841796875 1972.876220703125],0.7588860392570496,DOVSV,0.019917568248320548
52,2,[2197.1982421875 1422.969482421875 2953.4208984375 2107.318359375],car,[2479.50244140625 1917.7918701171875 2681.12841796875 1977.64208984375],0.8411526679992676,LCEIVSU,0.02678413356599347
53,2,[2197.441650390625 1429.99755859375 2957.06005859375 2117.985595703125],car,[2483.91455078125 1928.52734375 2684.449462890625 1986.6201171875],0.8293371200561523,AN,0.143135481227314
54,2,[2198.765869140625 1438.6585693359375 2964.448486328125 2128.31298828125],car,[2486.433837890625 1936.3641357421875 2686.71826171875 1997.9586181640625],0.8227554559707642,LAV,0.10827894779205617
54,3,[1086.2099609375 1189.3289794921875 1722.3582763671875 1663.43994140625],car,[1311.101806640625 1493.6031494140625 1487.908447265625 1545.9156494140625],0.3206648826599121,GX15OCJ,0.8111291474631068
55,2,[2200.629638671875 1441.7525634765625 2969.67822265625 2134.795166015625],car,[2486.457275390625 1939.1846923828125 2687.807373046875 2003.2283935546875],0.8221713900566101,LEV,0.0997191221003437
56,2,[2202.9814453125 1447.6494140625 2975.029296875 2140.341552734375],car,[2491.727783203125 1947.9598388671875 2691.872314453125 2012.61181640625],0.8313906788825989,LEVEV,0.044842750626905216
57,2,[2204.010498046875 1453.8011474609375 2980.33642578125 2145.57275390625],car,[2496.012939453125 1965.1497802734375 2693.899658203125 2023.8841552734375],0.8387719988822937,HVAW,0.03871738165616989
58,2,[2204.4716796875 1457.2030029296875 2983.304443359375 2146.873291015625],car,[2502.38232421875 1969.052978515625 2695.7431640625 2029.0833740234375],0.8390899300575256,MEVSW,0.04641175112901019
59,2,[2205.057861328125 1464.312744140625 2985.64599609375 2149.7666015625],car,[2501.008544921875 1976.7769775390625 2702.4853515625 2038.3421630859375],0.8247781991958618,DOESV,0.050399439682507034
59,3,[1074.169189453125 1206.17041015625 1718.591796875 1689.00830078125],car,[1294.4847412109375 1508.702392578125 1498.8714599609375 1570.577392578125],0.5320938229560852,GX15OCJ,0.3124617194170108
60,2,[2206.045166015625 1469.343017578125 2987.87353515625 2149.871826171875],car,[2504.29638671875 1982.942138671875 2700.691650390625 2047.288330078125],0.8023192286491394,MIES,0.20518827438354492
60,3,[1073.0413818359375 1209.656494140625 1717.6998291015625 1692.7042236328125],car,[1291.212158203125 1512.2017822265625 1496.8740234375 1577.14892578125],0.5728405714035034,GX15OCJ,0.5194280636166043
61,2,[2207.85400390625 1473.0677490234375 2990.7958984375 2149.573486328125],car,[2503.59619140625 1987.957763671875 2705.9326171875 2053.732421875],0.8182147145271301,MEWSU,0.49300776977261535
